2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 15:58:11, 1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:00:39, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:00:55, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:01:08, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:01:54, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:07:23, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:08:23, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:11:57, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 16:12:37, -1500
2884861c-ed5d-4abf-8eff-9b59060d4bd2, 2024-07-31 18:00:59, -1500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 14:41:19, 1500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 14:54:14, 1500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 14:56:43, -1500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:13:45, -1500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:19:35, -500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:19:50, -50
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:20:38, -50
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:36:06, -500
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:40:01, -50
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:42:35, -50
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:47:59, -50
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 15:51:53, -50
6ccdb5c1-784d-48e3-8ae8-070a0830dcf0, 2024-08-01 16:03:08, -50
470d8843-9c94-4774-a95e-86d11b71edc9, 2024-08-01 18:48:16, -100
470d8843-9c94-4774-a95e-86d11b71edc9, 2024-08-01 18:51:34, -50
470d8843-9c94-4774-a95e-86d11b71edc9, 2024-08-01 18:52:16, -50
